Frame,Left Eye H,Left Eye V,Right Eye H,Right Eye V,Avg H,Avg V,Fixation
197.0,288.0,170.0,393.0,165.0,340.5,167.5,0
198.0,287.0,170.0,392.0,165.0,339.5,167.5,0
199.0,276.0,174.0,376.0,167.0,326.0,170.5,0
200.0,276.0,173.0,375.0,166.0,325.5,169.5,0
201.0,277.0,174.0,374.0,166.0,325.5,170.0,0
202.0,275.0,176.0,378.0,168.0,326.5,172.0,0
203.0,274.0,175.0,377.0,169.0,325.5,172.0,0
204.0,275.0,176.0,377.0,170.0,326.0,173.0,0
205.0,276.0,176.0,377.0,170.0,326.5,173.0,0
206.0,275.0,176.0,377.0,169.0,326.0,172.5,0
207.0,276.0,176.0,377.0,169.0,326.5,172.5,0
208.0,276.0,177.0,377.0,171.0,326.5,174.0,0
209.0,276.0,177.0,378.0,171.0,327.0,174.0,0
210.0,276.0,178.0,378.0,172.0,327.0,175.0,0
211.0,276.0,178.0,378.0,173.0,327.0,175.5,0
212.0,277.0,178.0,378.0,173.0,327.5,175.5,0
